"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"","0","1","0","1","0.000000","7","0"
"Globals","21","1261","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","2","1","3.883939","0","2"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","4","1","11.407070","0","4"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","2","2","1","3.707869","0","2"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","2","2","1","1.051742","0","2"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","8","8","1","34.661282","0","8"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","4","1","3.397475","0","4"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","2.321311","0","2"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","21","45","45","1","36.675381","0","45"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","4","4","1","2.443801","0","4"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","8","8","1","6.724369","0","8"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","0.900778","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","0.653030","0","2"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","11","11","1","7.309482","0","11"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","21","12","12","1","11.654614","0","12"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","0.714983","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","6","6","1","5.312680","0","6"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","1.206650","0","2"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","21","2","2","1","4.265695","0","2"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","21","2","2","1","1.017558","0","2"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","5","5","1","22.596468","0","5"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","12","26","6","12.840514","0","14"
"/DatasmithContent/Materials/CE_OpacityReference.CE_OpacityReference","21","10","10","1","11.351273","0","10"
"","21","5","0","1","0.000000","0","0"
"/Interchange/gltf/M_Unlit.M_Unlit","21","52","52","6","38.564110","0","28"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","21","12","12","2","12.076324","0","12"
"/DatasmithContent/Materials/FBXImporter/VREDReferenceTransparent.VREDReferenceTransparent","21","12","12","1","10.875083","0","12"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","21","24","24","2","24.038445","0","24"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","21","116","116","6","101.236313","0","116"
"/Interchange/gltf/M_Transmission.M_Transmission","21","72","72","2","186.336380","0","72"
"/Interchange/gltf/M_Sheen.M_Sheen","21","116","116","6","193.839874","0","116"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","21","116","116","6","230.682465","0","116"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","21","42","42","1","38.998852","0","42"
"/Interchange/gltf/M_Default.M_Default","21","116","116","6","160.079636","0","116"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","0","12","1","0.000000","0","0"
"/Engine/EditorMaterials/GeometryCollection/InMaterial.InMaterial","21","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","0","107","1","0.000000","0","0"
"/Engine/EditorResources/FieldNodes/_Resources/M_FieldVolumePreview.M_FieldVolumePreview","21","0","25","1","0.000000","0","0"
"/Engine/VREditor/UI/ArrowMaterial.ArrowMaterial","21","0","10","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","21","0","20","1","0.000000","0","0"
"/Niagara/DefaultAssets/M_Gnomon_Alpha.M_Gnomon_Alpha","21","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","0","21","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","0","21","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","0","12","1","0.000000","0","0"
"/AnimationSharing/AnimSharingBase.AnimSharingBase","21","0","12","1","0.000000","0","0"
"/Niagara/DefaultAssets/M_Gnomon.M_Gnomon","21","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/HelpFlatColour.HelpFlatColour","21","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","0","21","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","21","0","4","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","0","24","2","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","0","4","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","21","0","7","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","21","0","67","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","21","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","21","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","0","75","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","21","0","300","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","21","0","12","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultTextureSpriteMaterial.DefaultTextureSpriteMaterial","21","0","20","1","0.000000","0","0"
